Institute,Academic Program Name,Category,Gender,Closing Rank,College_Branch,State
"Government College of Engineering, Amravati",Civil Engineering,Open,Gender-Neutral,45820,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,SC,Gender-Neutral,54803,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,ST,Gender-Neutral,85528,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,VJ,Gender-Neutral,53198,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,NT,Gender-Neutral,55202,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,NT,Gender-Neutral,47207,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,NT,Gender-Neutral,58799,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,OBC,Gender-Neutral,55212,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,Open,Female-Only,39555,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,SC,Female-Only,58069,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,ST,Female-Only,81275,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,VJ,Female-Only,55889,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,NT,Female-Only,71604,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,NT,Female-Only,59895,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,NT,Female-Only,85506,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,OBC,Female-Only,50933,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,Open,Gender-Neutral,66222,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,Open,Gender-Neutral,114710,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,EWS,Gender-Neutral,51497,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",Open,Gender-Neutral,6839,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",SC,Gender-Neutral,14995,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",ST,Gender-Neutral,42063,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",VJ,Gender-Neutral,10351,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",NT,Gender-Neutral,13430,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",NT,Gender-Neutral,10052,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",NT,Gender-Neutral,15513,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",OBC,Gender-Neutral,7626,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",Open,Female-Only,7359,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",SC,Female-Only,18093,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",ST,Female-Only,46043,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",OBC,Female-Only,8159,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",Open,Gender-Neutral,41373,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",Open,Gender-Neutral,14766,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",EWS,Gender-Neutral,16792,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",OBC,Gender-Neutral,45737,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati",Information Technology,Open,Gender-Neutral,10303,"Government College of Engineering, Amravati - Information Technology",Maharashtra
"Government College of Engineering, Amravati",Information Technology,SC,Gender-Neutral,18667,"Government College of Engineering, Amravati - Information Technology",Maharashtra
"Government College of Engineering, Amravati",Information Technology,ST,Gender-Neutral,43516,"Government College of Engineering, Amravati - Information Technology",Maharashtra
"Government College of Engineering, Amravati",Information Technology,VJ,Gender-Neutral,23597,"Government College of Engineering, Amravati - Information Technology",Maharashtra
"Government College of Engineering, Amravati",Information Technology,NT,Gender-Neutral,16268,"Government College of Engineering, Amravati - Information Technology",Maharashtra
"Government College of Engineering, Amravati",Information Technology,NT,Gender-Neutral,12552,"Government College of Engineering, Amravati - Information Technology",Maharashtra
"Government College of Engineering, Amravati",Information Technology,NT,Gender-Neutral,16999,"Government College of Engineering, Amravati - Information Technology",Maharashtra
"Government College of Engineering, Amravati",Information Technology,OBC,Gender-Neutral,11044,"Government College of Engineering, Amravati - Information Technology",Maharashtra
"Government College of Engineering, Amravati",Information Technology,Open,Female-Only,9567,"Government College of Engineering, Amravati - Information Technology",Maharashtra
"Government College of Engineering, Amravati",Information Technology,SC,Female-Only,21001,"Government College of Engineering, Amravati - Information Technology",Maharashtra
"Government College of Engineering, Amravati",Information Technology,ST,Female-Only,55122,"Government College of Engineering, Amravati - Information Technology",Maharashtra
"Government College of Engineering, Amravati",Information Technology,NT,Female-Only,16115,"Government College of Engineering, Amravati - Information Technology",Maharashtra
"Government College of Engineering, Amravati",Information Technology,NT,Female-Only,12233,"Government College of Engineering, Amravati - Information Technology",Maharashtra
"Government College of Engineering, Amravati",Information Technology,OBC,Female-Only,10354,"Government College of Engineering, Amravati - Information Technology",Maharashtra
"Government College of Engineering, Amravati",Information Technology,Open,Gender-Neutral,66253,"Government College of Engineering, Amravati - Information Technology",Maharashtra
"Government College of Engineering, Amravati",Information Technology,Open,Gender-Neutral,30013,"Government College of Engineering, Amravati - Information Technology",Maharashtra
"Government College of Engineering, Amravati",Information Technology,EWS,Gender-Neutral,12526,"Government College of Engineering, Amravati - Information Technology",Maharashtra
"Government College of Engineering, Amravati",Information Technology,OBC,Gender-Neutral,30456,"Government College of Engineering, Amravati - Information Technology",Maharashtra
"Government College of Engineering, Amravati",Information Technology,SC,Gender-Neutral,71173,"Government College of Engineering, Amravati - Information Technology",Maharashtra
"Government College of Engineering, Amravati",Electrical Engineering,Open,Gender-Neutral,31193,"Government College of Engineering, Amravati - Electrical Engineering",Maharashtra
"Government College of Engineering, Amravati",Electrical Engineering,SC,Gender-Neutral,45777,"Government College of Engineering, Amravati - Electrical Engineering",Maharashtra
"Government College of Engineering, Amravati",Electrical Engineering,ST,Gender-Neutral,92626,"Government College of Engineering, Amravati - Electrical Engineering",Maharashtra
"Government College of Engineering, Amravati",Electrical Engineering,VJ,Gender-Neutral,39357,"Government College of Engineering, Amravati - Electrical Engineering",Maharashtra
"Government College of Engineering, Amravati",Electrical Engineering,NT,Gender-Neutral,42146,"Government College of Engineering, Amravati - Electrical Engineering",Maharashtra
"Government College of Engineering, Amravati",Electrical Engineering,NT,Gender-Neutral,47720,"Government College of Engineering, Amravati - Electrical Engineering",Maharashtra
"Government College of Engineering, Amravati",Electrical Engineering,OBC,Gender-Neutral,34759,"Government College of Engineering, Amravati - Electrical Engineering",Maharashtra
"Government College of Engineering, Amravati",Electrical Engineering,Open,Female-Only,26636,"Government College of Engineering, Amravati - Electrical Engineering",Maharashtra
"Government College of Engineering, Amravati",Electrical Engineering,SC,Female-Only,34812,"Government College of Engineering, Amravati - Electrical Engineering",Maharashtra
"Government College of Engineering, Amravati",Electrical Engineering,ST,Female-Only,121868,"Government College of Engineering, Amravati - Electrical Engineering",Maharashtra
"Government College of Engineering, Amravati",Electrical Engineering,VJ,Female-Only,32994,"Government College of Engineering, Amravati - Electrical Engineering",Maharashtra
"Government College of Engineering, Amravati",Electrical Engineering,NT,Female-Only,87211,"Government College of Engineering, Amravati - Electrical Engineering",Maharashtra
"Government College of Engineering, Amravati",Electrical Engineering,OBC,Female-Only,31414,"Government College of Engineering, Amravati - Electrical Engineering",Maharashtra
"Government College of Engineering, Amravati",Electrical Engineering,Open,Gender-Neutral,92685,"Government College of Engineering, Amravati - Electrical Engineering",Maharashtra
"Government College of Engineering, Amravati",Electrical Engineering,EWS,Gender-Neutral,37774,"Government College of Engineering, Amravati - Electrical Engineering",Maharashtra
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",Open,Gender-Neutral,16356,"Government College of Engineering, Amravati - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",SC,Gender-Neutral,27969,"Government College of Engineering, Amravati - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",ST,Gender-Neutral,89313,"Government College of Engineering, Amravati - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",VJ,Gender-Neutral,30699,"Government College of Engineering, Amravati - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",NT,Gender-Neutral,17854,"Government College of Engineering, Amravati - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",NT,Gender-Neutral,21528,"Government College of Engineering, Amravati - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",NT,Gender-Neutral,30062,"Government College of Engineering, Amravati - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",OBC,Gender-Neutral,17589,"Government College of Engineering, Amravati - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",Open,Female-Only,14555,"Government College of Engineering, Amravati - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",SC,Female-Only,25655,"Government College of Engineering, Amravati - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",ST,Female-Only,81186,"Government College of Engineering, Amravati - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",VJ,Female-Only,41670,"Government College of Engineering, Amravati - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",NT,Female-Only,22022,"Government College of Engineering, Amravati - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",OBC,Female-Only,16887,"Government College of Engineering, Amravati - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",Open,Gender-Neutral,129864,"Government College of Engineering, Amravati - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",Open,Gender-Neutral,50151,"Government College of Engineering, Amravati - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",EWS,Gender-Neutral,20602,"Government College of Engineering, Amravati - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",OBC,Gender-Neutral,62434,"Government College of Engineering, Amravati - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering, Amravati","Instrumentation
Engineering",Open,Gender-Neutral,52017,"Government College of Engineering, Amravati - Instrumentation
Engineering",Maharashtra
"Government College of Engineering, Amravati","Instrumentation
Engineering",SC,Gender-Neutral,70454,"Government College of Engineering, Amravati - Instrumentation
Engineering",Maharashtra
"Government College of Engineering, Amravati","Instrumentation
Engineering",ST,Gender-Neutral,113354,"Government College of Engineering, Amravati - Instrumentation
Engineering",Maharashtra
"Government College of Engineering, Amravati","Instrumentation
Engineering",VJ,Gender-Neutral,110749,"Government College of Engineering, Amravati - Instrumentation
Engineering",Maharashtra
"Government College of Engineering, Amravati","Instrumentation
Engineering",NT,Gender-Neutral,64948,"Government College of Engineering, Amravati - Instrumentation
Engineering",Maharashtra
"Government College of Engineering, Amravati","Instrumentation
Engineering",OBC,Gender-Neutral,60742,"Government College of Engineering, Amravati - Instrumentation
Engineering",Maharashtra
"Government College of Engineering, Amravati","Instrumentation
Engineering",Open,Female-Only,49557,"Government College of Engineering, Amravati - Instrumentation
Engineering",Maharashtra
"Government College of Engineering, Amravati","Instrumentation
Engineering",SC,Female-Only,73669,"Government College of Engineering, Amravati - Instrumentation
Engineering",Maharashtra
"Government College of Engineering, Amravati","Instrumentation
Engineering",ST,Female-Only,108341,"Government College of Engineering, Amravati - Instrumentation
Engineering",Maharashtra
"Government College of Engineering, Amravati","Instrumentation
Engineering",NT,Female-Only,73493,"Government College of Engineering, Amravati - Instrumentation
Engineering",Maharashtra
"Government College of Engineering, Amravati","Instrumentation
Engineering",OBC,Female-Only,60133,"Government College of Engineering, Amravati - Instrumentation
Engineering",Maharashtra
"Government College of Engineering, Amravati","Instrumentation
Engineering",EWS,Gender-Neutral,51922,"Government College of Engineering, Amravati - Instrumentation
Engineering",Maharashtra
"Government College of Engineering, Amravati",Mechanical Engineering,Open,Gender-Neutral,38651,"Government College of Engineering, Amravati - Mechanical Engineering",Maharashtra
"Government College of Engineering, Amravati",Mechanical Engineering,SC,Gender-Neutral,61419,"Government College of Engineering, Amravati - Mechanical Engineering",Maharashtra
"Government College of Engineering, Amravati",Mechanical Engineering,ST,Gender-Neutral,117713,"Government College of Engineering, Amravati - Mechanical Engineering",Maharashtra
"Government College of Engineering, Amravati",Mechanical Engineering,VJ,Gender-Neutral,56910,"Government College of Engineering, Amravati - Mechanical Engineering",Maharashtra
"Government College of Engineering, Amravati",Mechanical Engineering,NT,Gender-Neutral,47365,"Government College of Engineering, Amravati - Mechanical Engineering",Maharashtra
"Government College of Engineering, Amravati",Mechanical Engineering,NT,Gender-Neutral,50166,"Government College of Engineering, Amravati - Mechanical Engineering",Maharashtra
"Government College of Engineering, Amravati",Mechanical Engineering,NT,Gender-Neutral,56879,"Government College of Engineering, Amravati - Mechanical Engineering",Maharashtra
"Government College of Engineering, Amravati",Mechanical Engineering,OBC,Gender-Neutral,43574,"Government College of Engineering, Amravati - Mechanical Engineering",Maharashtra
"Government College of Engineering, Amravati",Mechanical Engineering,Open,Female-Only,41931,"Government College of Engineering, Amravati - Mechanical Engineering",Maharashtra
"Government College of Engineering, Amravati",Mechanical Engineering,SC,Female-Only,59704,"Government College of Engineering, Amravati - Mechanical Engineering",Maharashtra
"Government College of Engineering, Amravati",Mechanical Engineering,ST,Female-Only,106253,"Government College of Engineering, Amravati - Mechanical Engineering",Maharashtra
"Government College of Engineering, Amravati",Mechanical Engineering,VJ,Female-Only,72354,"Government College of Engineering, Amravati - Mechanical Engineering",Maharashtra
"Government College of Engineering, Amravati",Mechanical Engineering,NT,Female-Only,49939,"Government College of Engineering, Amravati - Mechanical Engineering",Maharashtra
"Government College of Engineering, Amravati",Mechanical Engineering,OBC,Female-Only,55239,"Government College of Engineering, Amravati - Mechanical Engineering",Maharashtra
"Government College of Engineering, Amravati",Mechanical Engineering,EWS,Gender-Neutral,42232,"Government College of Engineering, Amravati - Mechanical Engineering",Maharashtra
"Sant Gadge Baba Amravati University,Amravati",Food Technology,Open,Gender-Neutral,80967,"Sant Gadge Baba Amravati University,Amravati - Food Technology",Maharashtra
"Sant Gadge Baba Amravati University,Amravati",Food Technology,SC,Gender-Neutral,84577,"Sant Gadge Baba Amravati University,Amravati - Food Technology",Maharashtra
"Sant Gadge Baba Amravati University,Amravati",Food Technology,VJ,Gender-Neutral,141262,"Sant Gadge Baba Amravati University,Amravati - Food Technology",Maharashtra
"Sant Gadge Baba Amravati University,Amravati",Food Technology,NT,Gender-Neutral,131711,"Sant Gadge Baba Amravati University,Amravati - Food Technology",Maharashtra
"Sant Gadge Baba Amravati University,Amravati",Food Technology,OBC,Gender-Neutral,85735,"Sant Gadge Baba Amravati University,Amravati - Food Technology",Maharashtra
"Sant Gadge Baba Amravati University,Amravati",Food Technology,Open,Female-Only,76696,"Sant Gadge Baba Amravati University,Amravati - Food Technology",Maharashtra
"Sant Gadge Baba Amravati University,Amravati",Food Technology,OBC,Female-Only,85239,"Sant Gadge Baba Amravati University,Amravati - Food Technology",Maharashtra
"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,Open,Gender-Neutral,116850,"Sant Gadge Baba Amravati University,Amravati - Oil and Paints Technology",Maharashtra
"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,Open,Female-Only,73995,"Sant Gadge Baba Amravati University,Amravati - Oil and Paints Technology",Maharashtra
"Sant Gadge Baba Amravati University,Amravati",Paper and Pulp Technology,Open,Gender-Neutral,137370,"Sant Gadge Baba Amravati University,Amravati - Paper and Pulp Technology",Maharashtra
"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,Open,Gender-Neutral,96082,"Sant Gadge Baba Amravati University,Amravati - Petro Chemical Engineering",Maharashtra
"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,SC,Gender-Neutral,106203,"Sant Gadge Baba Amravati University,Amravati - Petro Chemical Engineering",Maharashtra
"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,OBC,Gender-Neutral,107265,"Sant Gadge Baba Amravati University,Amravati - Petro Chemical Engineering",Maharashtra
"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,Open,Female-Only,39830,"Sant Gadge Baba Amravati University,Amravati - Petro Chemical Engineering",Maharashtra
"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,SC,Female-Only,91096,"Sant Gadge Baba Amravati University,Amravati - Petro Chemical Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Civil Engineering,Open,Gender-Neutral,74562,"Government College of Engineering,Yavatmal - Civil Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Civil Engineering,SC,Gender-Neutral,101880,"Government College of Engineering,Yavatmal - Civil Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Civil Engineering,VJ,Gender-Neutral,80305,"Government College of Engineering,Yavatmal - Civil Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Civil Engineering,OBC,Gender-Neutral,86831,"Government College of Engineering,Yavatmal - Civil Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Civil Engineering,Open,Female-Only,82581,"Government College of Engineering,Yavatmal - Civil Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Civil Engineering,OBC,Female-Only,108125,"Government College of Engineering,Yavatmal - Civil Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Civil Engineering,SC,Female-Only,99853,"Government College of Engineering,Yavatmal - Civil Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Civil Engineering,NT,Gender-Neutral,102191,"Government College of Engineering,Yavatmal - Civil Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Civil Engineering,NT,Gender-Neutral,117501,"Government College of Engineering,Yavatmal - Civil Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Civil Engineering,NT,Female-Only,94340,"Government College of Engineering,Yavatmal - Civil Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Computer Engineering,Open,Gender-Neutral,31195,"Government College of Engineering,Yavatmal - Computer Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Computer Engineering,SC,Gender-Neutral,45916,"Government College of Engineering,Yavatmal - Computer Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Computer Engineering,VJ,Gender-Neutral,31317,"Government College of Engineering,Yavatmal - Computer Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Computer Engineering,NT,Gender-Neutral,32367,"Government College of Engineering,Yavatmal - Computer Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Computer Engineering,OBC,Gender-Neutral,32855,"Government College of Engineering,Yavatmal - Computer Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Computer Engineering,Open,Female-Only,28640,"Government College of Engineering,Yavatmal - Computer Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Computer Engineering,OBC,Female-Only,29760,"Government College of Engineering,Yavatmal - Computer Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Computer Engineering,SC,Female-Only,42392,"Government College of Engineering,Yavatmal - Computer Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Computer Engineering,ST,Gender-Neutral,69281,"Government College of Engineering,Yavatmal - Computer Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Computer Engineering,NT,Gender-Neutral,40791,"Government College of Engineering,Yavatmal - Computer Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Computer Engineering,NT,Female-Only,96270,"Government College of Engineering,Yavatmal - Computer Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Computer Engineering,NT,Female-Only,81697,"Government College of Engineering,Yavatmal - Computer Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Computer Engineering,Open,Gender-Neutral,109414,"Government College of Engineering,Yavatmal - Computer Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Electrical Engineering,Open,Gender-Neutral,68570,"Government College of Engineering,Yavatmal - Electrical Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Electrical Engineering,SC,Gender-Neutral,80470,"Government College of Engineering,Yavatmal - Electrical Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Electrical Engineering,VJ,Gender-Neutral,82248,"Government College of Engineering,Yavatmal - Electrical Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Electrical Engineering,NT,Gender-Neutral,80510,"Government College of Engineering,Yavatmal - Electrical Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Electrical Engineering,OBC,Gender-Neutral,74433,"Government College of Engineering,Yavatmal - Electrical Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Electrical Engineering,Open,Female-Only,64063,"Government College of Engineering,Yavatmal - Electrical Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Electrical Engineering,OBC,Female-Only,68856,"Government College of Engineering,Yavatmal - Electrical Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Electrical Engineering,SC,Female-Only,66750,"Government College of Engineering,Yavatmal - Electrical Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Electrical Engineering,NT,Female-Only,68446,"Government College of Engineering,Yavatmal - Electrical Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Electrical Engineering,NT,Gender-Neutral,78055,"Government College of Engineering,Yavatmal - Electrical Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Electrical Engineering,NT,Gender-Neutral,136539,"Government College of Engineering,Yavatmal - Electrical Engineering",Maharashtra
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",Open,Gender-Neutral,48301,"Government College of Engineering,Yavatmal - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",SC,Gender-Neutral,76557,"Government College of Engineering,Yavatmal - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",VJ,Gender-Neutral,63812,"Government College of Engineering,Yavatmal - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",NT,Gender-Neutral,61377,"Government College of Engineering,Yavatmal - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",OBC,Gender-Neutral,52485,"Government College of Engineering,Yavatmal - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",Open,Female-Only,48581,"Government College of Engineering,Yavatmal - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",OBC,Female-Only,50328,"Government College of Engineering,Yavatmal - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",SC,Female-Only,54145,"Government College of Engineering,Yavatmal - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",NT,Gender-Neutral,72438,"Government College of Engineering,Yavatmal - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",NT,Gender-Neutral,64496,"Government College of Engineering,Yavatmal - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",VJ,Female-Only,87291,"Government College of Engineering,Yavatmal - Electronics and
Telecommunication Engg",Maharashtra
"Government College of Engineering,Yavatmal",Mechanical Engineering,Open,Gender-Neutral,80361,"Government College of Engineering,Yavatmal - Mechanical Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Mechanical Engineering,SC,Gender-Neutral,112853,"Government College of Engineering,Yavatmal - Mechanical Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Mechanical Engineering,VJ,Gender-Neutral,102627,"Government College of Engineering,Yavatmal - Mechanical Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Mechanical Engineering,OBC,Gender-Neutral,89267,"Government College of Engineering,Yavatmal - Mechanical Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Mechanical Engineering,Open,Female-Only,93781,"Government College of Engineering,Yavatmal - Mechanical Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Mechanical Engineering,OBC,Female-Only,107714,"Government College of Engineering,Yavatmal - Mechanical Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Mechanical Engineering,SC,Female-Only,112711,"Government College of Engineering,Yavatmal - Mechanical Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Mechanical Engineering,NT,Gender-Neutral,140543,"Government College of Engineering,Yavatmal - Mechanical Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Mechanical Engineering,NT,Gender-Neutral,85464,"Government College of Engineering,Yavatmal - Mechanical Engineering",Maharashtra
"Government College of Engineering,Yavatmal",Mechanical Engineering,Open,Gender-Neutral,109381,"Government College of Engineering,Yavatmal - Mechanical Engineering",Maharashtra
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Computer Science and
Engineering",Open,Gender-Neutral,14854,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon - Computer Science and
Engineering",Maharashtra
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Computer Science and
Engineering",SC,Gender-Neutral,30173,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon - Computer Science and
Engineering",Maharashtra
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Computer Science and
Engineering",NT,Gender-Neutral,21316,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon - Computer Science and
Engineering",Maharashtra
